geral_modalidade;geral_uf_br;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;AL;5;5,0;0,005186721991701245;1,0;45318,5821942488;9063,716438849759;3051,2288085222067;5562,106331113562;12626,002281801962
aon;AM;6;1,0;0,006224066390041493;0,16666666666666666;3062,186004590443;3062,186004590443;0,0;3062,186004590443;3062,186004590443
aon;BA;15;5,0;0,015560165975103735;0,3333333333333333;56646,26444911023;11329,252889822046;3898,2737101126963;5235,936786989552;15575,358822512202
aon;CE;11;6,0;0,011410788381742738;0,5454545454545454;84298,7129567468;14049,785492791132;12235,58223112685;1411,3399965301437;33606,12932444846
aon;DF;34;20,0;0,035269709543568464;0,5882352941176471;402701,4976123299;20135,074880616496;13030,69052334568;8409,90239211535;61493,51079858364
aon;ES;10;4,0;0,01037344398340249;0,4;59100,361940542236;14775,090485135559;13979,95449267619;1145,4440112934012;32331,574558930697
aon;GO;11;8,0;0,011410788381742738;0,7272727272727273;60404,37688844873;7550,547111056091;4273,289064485178;638,5754812101508;12284,92943908832
aon;MA;2;0,0;0,002074688796680498;0,0;0,0;0,0;0,0;0,0;0,0
aon;MG;88;54,0;0,0912863070539419;0,6136363636363636;934036,396753299;17296,970310246277;13182,245541378326;1721,995429822734;51934,69448318128
aon;MS;2;1,0;0,002074688796680498;0,5;31442,714082251245;31442,714082251245;0,0;31442,714082251245;31442,714082251245
aon;MT;2;2,0;0,002074688796680498;1,0;13171,971536728739;6585,9857683643695;2551,1021345848885;4782,084149499919;8389,88738722882
aon;PA;7;2,0;0,007261410788381743;0,2857142857142857;51160,027967753726;25580,013983876863;2010,3759830510685;24158,46349352688;27001,564474226845
aon;PB;19;10,0;0,01970954356846473;0,5263157894736842;236658,3666969369;23665,83666969369;13014,807988578692;7664,300800786746;45880,43492768072
aon;PE;33;19,0;0,03423236514522822;0,5757575757575758;221884,61915381893;11678,137850200996;9279,849491109451;44,24739429080096;34322,21835035881
aon;PI;14;10,0;0,014522821576763486;0,7142857142857143;131404,5746000782;13140,45746000782;8889,387961900942;4110,055275238567;31997,990000000005
aon;PR;57;34,0;0,05912863070539419;0,5964912280701754;691576,693360426;20340,490981189;18065,893099068937;642,666421955414;79100,74664594153
aon;RJ;109;62,0;0,11307053941908714;0,5688073394495413;1185600,1885809498;19122,583686789512;16634,22249263671;3528,398433383501;109964,90667621478
aon;RN;18;11,0;0,01867219917012448;0,6111111111111112;129400,70087982011;11763,700079983646;4746,993337745607;3195,271626412928;19466,228575935063
aon;RO;1;0,0;0,001037344398340249;0,0;0,0;0,0;0,0;0,0;0,0
