geral_modalidade;mencoes_folclore;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;834;489,0;0,8651452282157677;0,5863309352517986;9773939,525068954;19987,606390734058;18859,072061994808;44,24739429080096;177039,49674420513
aon;True;130;97,0;0,13485477178423236;0,7461538461538462;2609441,9888004833;26901,46380206684;36626,701559003974;2534,944531235308;321726,8370992873
flex;False;503;446,0;0,8314049586776859;0,8866799204771372;4147974,5478780614;9300,391362955295;27672,7489672659;24,186396829065757;385603,24
flex;True;102;98,0;0,16859504132231404;0,9607843137254902;1156970,1854382309;11805,818218757458;22768,051031575946;44,97401396783553;162316,26581120395
sub;False;426;74,0;0,9659863945578231;0,17370892018779344;23746,365946770202;320,89683711851626;717,5013649123537;3,0827379517311337;4127,142131526186
sub;True;15;5,0;0,034013605442176874;0,3333333333333333;1166,277211506605;233,255442301321;386,787991688248;25,54556902405413;921,622615535676
