geral_modalidade;origem;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;catarse;964;586,0;1,0;0,6078838174273858;12383381,513869435;21132,050364964907;22879,058220251474;44,24739429080096;321726,8370992873
flex;catarse;605;544,0;1,0;0,8991735537190083;5304944,733316293;9751,73664212554;26853,40345594177;24,186396829065757;385603,24
sub;apoia.se;416;73,0;0,9433106575963719;0,17548076923076922;23929,320888183724;327,79891627648936;726,2471327664176;3,0827379517311337;4127,142131526186
sub;catarse;25;6,0;0,05668934240362812;0,24;983,3222700930846;163,8870450155141;134,99732216120256;22,242229813449303;368,8221455905336
