geral_modalidade;mencoes_erotismo;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;358;213,0;0,9017632241813602;0,5949720670391061;4097622,4729757393;19237,664192374363;15062,613294509742;413,39080640350926;90252,06210555576
aon;True;39;26,0;0,0982367758186398;0,6666666666666666;550019,993145834;21154,615120993614;13676,529804754096;3937,65810189114;65834,05343150004
flex;False;32;25,0;0,9142857142857143;0,78125;196688,64410637948;7867,545764255179;16484,878165386726;25,11261544573431;79806,28598672585
flex;True;3;2,0;0,08571428571428572;0,6666666666666666;3216,9745360313855;1608,4872680156927;30,387585846137807;1587,0000000000002;1629,974536031385
sub;False;31;5,0;0,9393939393939394;0,16129032258064516;301,39949459323645;60,27989891864729;60,43396051942288;5,056727578330388;160,0
sub;True;2;0,0;0,06060606060606061;0,0;0,0;0,0;0,0;0,0;0,0
