geral_modalidade;mencoes_fantasia;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;333;199,0;0,8387909319899244;0,5975975975975976;3856674,35044474;19380,273117812765;14929,001866670835;413,39080640350926;90252,06210555576
aon;True;64;40,0;0,16120906801007556;0,625;790968,1156768332;19774,20289192083;14958,017629388674;3580,3799670757658;58144,50582630057
flex;False;32;24,0;0,9142857142857143;0,75;184215,85505044556;7675,660627101898;16867,998621677812;25,11261544573431;79806,28598672585
flex;True;3;3,0;0,08571428571428572;1,0;15689,763591965275;5229,921197321758;4150,3611082254165;1365,316446149205;9616,63183490949
sub;False;31;5,0;0,9393939393939394;0,16129032258064516;301,39949459323645;60,27989891864729;60,43396051942288;5,056727578330388;160,0
sub;True;2;0,0;0,06060606060606061;0,0;0,0;0,0;0,0;0,0;0,0
