geral_modalidade;mencoes_herois;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;312;188,0;0,7858942065491183;0,6025641025641025;3645408,875923891;19390,472744276016;14686,332466629889;413,39080640350926;79109,40336433673
aon;True;85;51,0;0,2141057934508816;0,6;1002233,5901976821;19651,639023483964;15826,513834492824;3737,008362907336;90252,06210555576
flex;False;31;25,0;0,8857142857142857;0,8064516129032258;161371,8169978583;6454,8726799143315;15815,745764943702;25,11261544573431;79806,28598672585
flex;True;4;2,0;0,11428571428571428;0,5;38533,80164455256;19266,90082227628;16949,69864030937;7281,65397464512;31252,147669907437
sub;False;33;5,0;1,0;0,15151515151515152;301,39949459323645;60,27989891864729;60,43396051942288;5,056727578330388;160,0
