geral_modalidade;mencoes_folclore;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;337;196,0;0,8488664987405542;0,5816023738872403;3779296,2062016595;19282,123501028876;15286,874123152476;413,39080640350926;90252,06210555576
aon;True;60;43,0;0,15113350125944586;0,7166666666666667;868346,2599199136;20194,09906790497;13149,141448115746;3073,6830092910423;49819,2920263266
flex;False;30;22,0;0,8571428571428571;0,7333333333333333;179047,8890643916;8138,5404120178;17545,68276206503;25,11261544573431;79806,28598672585
flex;True;5;5,0;0,14285714285714285;1,0;20857,72957801923;4171,545915603846;4049,4807405789165;708,0;9616,63183490949
sub;False;32;4,0;0,9696969696969697;0,125;265,66890921936897;66,41722730484224;67,9600822587612;5,056727578330388;160,0
sub;True;1;1,0;0,030303030303030304;1,0;35,730585373867534;35,730585373867534;0,0;35,730585373867534;35,730585373867534
