geral_modalidade;geral_uf_br;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;AL;1;1,0;0,0025188916876574307;1,0;9817,600730129936;9817,600730129936;0,0;9817,600730129936;9817,600730129936
aon;AM;4;0,0;0,010075566750629723;0,0;0,0;0,0;0,0;0,0;0,0
aon;BA;8;4,0;0,020151133501259445;0,5;39070,696096586944;9767,674024146736;3912,4625522915485;4561,165708391672;13568,115018818711
aon;CE;5;4,0;0,012594458438287154;0,8;60760,52992324749;15190,132480811873;11709,92316274143;3737,008362907336;29275,2053552926
aon;DF;14;8,0;0,03526448362720403;0,5714285714285714;159654,10276344593;19956,76284543074;9807,544220609296;7326,092724639719;35097,097601963804
aon;ES;4;3,0;0,010075566750629723;0,75;50486,0916098892;16828,6972032964;11335,161121523493;5494,584381757177;28164,906334037743
aon;GO;6;4,0;0,015113350125944584;0,6666666666666666;31500,272633221866;7875,068158305467;3307,253406637159;3146,9104321241043;10701,733265156165
aon;MA;1;0,0;0,0025188916876574307;0,0;0,0;0,0;0,0;0,0;0,0
aon;MG;44;28,0;0,11083123425692695;0,6363636363636364;517599,12616311136;18485,683077253976;13054,095656008807;3147,710692581086;45241,71264655056
aon;MS;1;1,0;0,0025188916876574307;1,0;27390,5960070206;27390,5960070206;0,0;27390,5960070206;27390,5960070206
aon;MT;1;1,0;0,0025188916876574307;1,0;4165,802438933437;4165,802438933437;0,0;4165,802438933437;4165,802438933437
aon;PA;4;2,0;0,010075566750629723;0,5;44566,87975811935;22283,439879059675;1751,2927233292505;21045,088918550904;23521,790839568443
aon;PB;6;3,0;0,015113350125944584;0,5;50840,51001360806;16946,836671202687;4329,736037095279;11947,834359383893;19510,338340737348
aon;PE;9;4,0;0,022670025188916875;0,4444444444444444;46005,41601301005;11501,354003252512;6794,370372577737;3937,65810189114;19737,66530175915
aon;PI;7;5,0;0,017632241813602016;0,7142857142857143;44504,62873872693;8900,925747745387;6902,433200470852;3580,3799670757658;18391,821524214924
aon;PR;33;19,0;0,08312342569269521;0,5757575757575758;356792,0274134389;18778,527758602046;14686,026732006581;2858,7956967881883;65834,05343150004
aon;RJ;41;21,0;0,10327455919395466;0,5121951219512195;361725,20985471545;17225,009993081687;9893,00640242358;3073,6830092910423;45783,12684361805
aon;RN;13;7,0;0,0327455919395466;0,5384615384615384;67801,28493481249;9685,897847830356;3082,2283344728753;6086,9234599462725;14336,892360215692
aon;RS;31;21,0;0,07808564231738035;0,6774193548387096;377709,5402749401;17986,168584520958;13324,36446765948;4524,871844892289;60150,11110363283
aon;SC;11;6,0;0,027707808564231738;0,5454545454545454;206330,86467321453;34388,477445535755;15716,417314648643;20840,01471912993;58501,28819761207
aon;SP;153;97,0;0,3853904282115869;0,6339869281045751;2190921,2860814007;22586,817382282483;17795,99104735236;413,39080640350926;90252,06210555576
flex;MG;2;2,0;0,05714285714285714;1,0;2932,6522238469297;1466,3261119234649;2038,1836729939555;25,11261544573431;2907,5396084011954
flex;PB;1;1,0;0,02857142857142857;1,0;708,0;708,0;0,0;708,0;708,0
flex;PR;5;3,0;0,14285714285714285;0,6;17283,841932230513;5761,280644076837;4291,351665000212;1137,7008387136837;9616,63183490949
flex;RJ;3;3,0;0,08571428571428572;1,0;3302,7174908056477;1100,9058302685492;458,66115242482783;815,5200702283927;1629,974536031385
flex;RN;1;1,0;0,02857142857142857;1,0;14959,261091589113;14959,261091589113;0,0;14959,261091589113;14959,261091589113
flex;RS;2;2,0;0,05714285714285714;1,0;6439,536941515018;3219,768470757509;2104,4160227852435;1731,721630608439;4707,815310906579
flex;SC;1;1,0;0,02857142857142857;1,0;1587,0000000000002;1587,0000000000002;0,0;1587,0000000000002;1587,0000000000002
flex;SP;20;14,0;0,5714285714285714;0,7;152692,60896242358;10906,614925887397;21498,516033227344;134,53758075179687;79806,28598672585
sub;AM;1;0,0;0,030303030303030304;0,0;0,0;0,0;0,0;0,0;0,0
sub;CE;3;0,0;0,09090909090909091;0,0;0,0;0,0;0,0;0,0;0,0
sub;MG;2;1,0;0,06060606060606061;0,5;5,056727578330388;5,056727578330388;0,0;5,056727578330388;5,056727578330388
sub;PA;2;0,0;0,06060606060606061;0,0;0,0;0,0;0,0;0,0;0,0
sub;PB;1;0,0;0,030303030303030304;0,0;0,0;0,0;0,0;0,0;0,0
sub;PE;1;0,0;0,030303030303030304;0,0;0,0;0,0;0,0;0,0;0,0
sub;PR;3;1,0;0,09090909090909091;0,3333333333333333;35,730585373867534;35,730585373867534;0,0;35,730585373867534;35,730585373867534
sub;RJ;6;0,0;0,18181818181818182;0,0;0,0;0,0;0,0;0,0;0,0
sub;RS;2;1,0;0,06060606060606061;0,5;160,0;160,0;0,0;160,0;160,0
sub;SE;1;0,0;0,030303030303030304;0,0;0,0;0,0;0,0;0,0;0,0
sub;SP;10;2,0;0,30303030303030304;0,2;100,61218164103856;50,30609082051928;28,526034288330003;30,13513853488117;70,4770431061574
sub;XX;1;0,0;0,030303030303030304;0,0;0,0;0,0;0,0;0,0;0,0
