geral_modalidade;mencoes_terror;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;273;164,0;0,6876574307304786;0,6007326007326007;3175709,7769443425;19364,084005758185;14443,84102058336;413,39080640350926;79109,40336433673
aon;True;124;75,0;0,3123425692695214;0,6048387096774194;1471932,689177231;19625,769189029746;15960,70430426171;3073,6830092910423;90252,06210555576
flex;False;22;15,0;0,6285714285714286;0,6818181818181818;156465,05744157144;10431,003829438096;20841,57602039337;25,11261544573431;79806,28598672585
flex;True;13;12,0;0,37142857142857144;0,9230769230769231;43440,56120083942;3620,046766736618;4307,696486390788;708,0;14800,179052293051
sub;False;31;5,0;0,9393939393939394;0,16129032258064516;301,39949459323645;60,27989891864729;60,43396051942288;5,056727578330388;160,0
sub;True;2;0,0;0,06060606060606061;0,0;0,0;0,0;0,0;0,0;0,0
