geral_modalidade;mencoes_humor;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;316;190,0;0,7959697732997482;0,6012658227848101;3757101,2224539192;19774,216960283786;15354,872739744755;413,39080640350926;90252,06210555576
aon;True;81;49,0;0,2040302267002519;0,6049382716049383;890541,2436676538;18174,31109525824;13070,120465537655;4561,165708391672;57414,209680806176
flex;False;32;24,0;0,9142857142857143;0,75;189396,08630781982;7891,503596159159;16863,967013807374;25,11261544573431;79806,28598672585
flex;True;3;3,0;0,08571428571428572;1,0;10509,532334591044;3503,177444863681;1043,268387462938;2894,1774152832704;4707,815310906579
sub;False;29;4,0;0,8787878787878788;0,13793103448275862;265,66890921936897;66,41722730484224;67,9600822587612;5,056727578330388;160,0
sub;True;4;1,0;0,12121212121212122;0,25;35,730585373867534;35,730585373867534;0,0;35,730585373867534;35,730585373867534
