geral_modalidade;mencoes_zine;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;342;200,0;0,8614609571788413;0,5847953216374269;4018383,501197694;20091,91750598847;15444,08284378294;3073,6830092910423;90252,06210555576
aon;True;55;39,0;0,1385390428211587;0,7090909090909091;629258,9649238796;16134,84525445845;11336,874670208043;413,39080640350926;45241,71264655056
flex;False;31;24,0;0,8857142857142857;0,7741935483870968;195621,01216553262;8150,875506897192;16772,049459456688;134,53758075179687;79806,28598672585
flex;True;4;3,0;0,11428571428571428;0,75;4284,60647687821;1428,2021589594033;1435,5657999804243;25,11261544573431;2894,1774152832704
sub;False;33;5,0;1,0;0,15151515151515152;301,39949459323645;60,27989891864729;60,43396051942288;5,056727578330388;160,0
