geral_modalidade;mencoes_angelo_agostini;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;385;228,0;0,9697732997481109;0,5922077922077922;4444871,237568844;19495,04928758265;15142,32409323486;413,39080640350926;90252,06210555576
aon;True;12;11,0;0,030226700251889168;0,9166666666666666;202771,22855272866;18433,74805024806;8942,829216431552;5427,891382579839;32356,09824490191
flex;False;35;27,0;1,0;0,7714285714285715;199905,61864241085;7403,911801570772;15926,004038872736;25,11261544573431;79806,28598672585
sub;False;33;5,0;1,0;0,15151515151515152;301,39949459323645;60,27989891864729;60,43396051942288;5,056727578330388;160,0
