geral_modalidade;total;arrecadado;total_sucesso;arrecadado_sucesso;taxa_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;397;5068787,818230267;239,0;4647642,466121573;0,6020151133501259;19446,202787119553;14903,10255872703;413,39080640350926;90252,06210555576
flex;35;200006,75319397746;27,0;199905,61864241085;0,7714285714285715;7403,911801570772;15926,004038872736;25,11261544573431;79806,28598672585
sub;33;301,39949459323645;5,0;301,39949459323645;0,15151515151515152;60,27989891864729;60,43396051942288;5,056727578330388;160,0
