autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
ra. soares;1;0,0;0,0;0,0;409,6210146618589;409,6210146618589;0,0;0,0;0,0;0,0
rabelo;1;146,3239455700791;0,0;146,3239455700791;0,0;0,0;0,0;0,0;0,0;0,0
rabisco;1;0,0;0,0;0,0;0,0;0,0;0,0;45,40165109634621;45,40165109634621;0,0
rafa louzada;1;34862,59437756235;34862,59437756235;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafabrilustra;1;6214,281321557668;6214,281321557668;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael anderson bezerra;1;2108,8299782206627;0,0;2108,8299782206627;0,0;0,0;0,0;0,0;0,0;0,0
rafael baldam;2;11780,66394639571;11780,66394639571;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael bento;2;0,0;0,0;0,0;6725,482833668961;6725,482833668961;0,0;0,0;0,0;0,0
rafael brindo;2;0,0;0,0;0,0;4755,94994912371;4755,94994912371;0,0;0,0;0,0;0,0
rafael cavalcanti beltrao;1;13117,733912602576;13117,733912602576;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael conte;2;0,0;0,0;0,0;9648,005757371628;9648,005757371628;0,0;0,0;0,0;0,0
rafael corrêa;1;53719,86144164231;53719,86144164231;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael danesin;3;4315,212938613246;3485,7523562400397;829,4605823732059;10646,597660732035;10646,597660732035;0,0;0,0;0,0;0,0
rafael diego de serrão moralez;1;13332,459351770452;13332,459351770452;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael dos santos coutinho;2;145974,18240254128;145974,18240254128;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael fritzen;2;39367,47009269245;39367,47009269245;0,0;28914,0698592399;28914,0698592399;0,0;0,0;0,0;0,0
rafael josé geraldo;1;6709,995401213501;6709,995401213501;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael koff;9;197213,49960768232;197213,49960768232;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael lopes;2;10,372775094652336;0,0;10,372775094652336;0,0;0,0;0,0;0,0;0,0;0,0
rafael marçal;6;85471,57755259715;75121,05637397621;10350,52117862094;0,0;0,0;0,0;0,0;0,0;0,0
rafael oliveira pina gimenes;1;0,0;0,0;0,0;0,0;0,0;0,0;298,0199699444979;298,0199699444979;0,0
rafael rodrigues amorim;3;1317,082240980546;0,0;1317,082240980546;961,1765969866995;961,1765969866995;0,0;0,0;0,0;0,0
rafael sam;3;1398,2224384115702;0,0;1398,2224384115702;9448,494269942039;9448,494269942039;0,0;0,0;0,0;0,0
rafael santos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael sete;1;2924,2100389613142;2924,2100389613142;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael silva santos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael torres;1;15947,32647788633;15947,32647788633;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rafael vitori;1;0,0;0,0;0,0;1184,8803058719511;1184,8803058719511;0,0;0,0;0,0;0,0
rafaela villela;1;2055,186326416111;0,0;2055,186326416111;0,0;0,0;0,0;0,0;0,0;0,0
rafão o maior leitor de gibis;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rai guimarães;4;0,0;0,0;0,0;4678,795574908854;4678,795574908854;0,0;0,0;0,0;0,0
raimundo gomes;2;752,1915700990802;0,0;752,1915700990802;307,3153640096555;307,3153640096555;0,0;0,0;0,0;0,0
raimundo lima;1;8764,955407073561;0,0;8764,955407073561;0,0;0,0;0,0;0,0;0,0;0,0
rainer petter;3;59174,705544409364;46601,11454022949;12573,59100417987;0,0;0,0;0,0;0,0;0,0;0,0
raiozinho mari;1;0,0;0,0;0,0;0,0;0,0;0,0;39,16509263383677;39,16509263383677;0,0
raknay - produções animadas;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rangel lopes dos santos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rapha lima;1;0,0;0,0;0,0;7211,964290684683;7211,964290684683;0,0;0,0;0,0;0,0
rapha pinheiro;14;212372,61642787766;190094,29545042606;22278,3209774516;0,0;0,0;0,0;0,0;0,0;0,0
raphael hhs;2;0,0;0,0;0,0;1767,5040305010161;1767,5040305010161;0,0;0,0;0,0;0,0
raphael mortari;1;15079,28052609717;15079,28052609717;0,0;0,0;0,0;0,0;0,0;0,0;0,0
raphus press;3;0,0;0,0;0,0;9385,776282486118;9385,776282486118;0,0;0,0;0,0;0,0
rascunho maldito;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ray mangás;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rc produções;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
realejo editora;1;7691,518198000289;0,0;7691,518198000289;0,0;0,0;0,0;0,0;0,0;0,0
rebeca acco;1;2439,840044504227;0,0;2439,840044504227;0,0;0,0;0,0;0,0;0,0;0,0
rebeca jessica;1;0,0;0,0;0,0;2558,959524906686;2558,959524906686;0,0;0,0;0,0;0,0
rebeca prado;2;105334,47682756608;105334,47682756608;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rebecca braga;1;0,0;0,0;0,0;14467,992816035658;14467,992816035658;0,0;0,0;0,0;0,0
red;1;0,0;0,0;0,0;414,3503830055233;414,3503830055233;0,0;0,0;0,0;0,0
red dragon;22;381,531739480712;0,0;381,531739480712;192506,3368439173;192506,3368439173;0,0;0,0;0,0;0,0
regentes do caos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
reginaldo carlota;6;0,0;0,0;0,0;80267,84374486205;80267,84374486205;0,0;0,0;0,0;0,0
reginaldo minas;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
reiko yuma;1;516,2763538961312;0,0;516,2763538961312;0,0;0,0;0,0;0,0;0,0;0,0
relatos de um dia incrivelmente mediano;1;0,0;0,0;0,0;0,0;0,0;0,0;98,8578426891672;98,8578426891672;0,0
relatório espacial;1;0,0;0,0;0,0;0,0;0,0;0,0;36,50438865932241;36,50438865932241;0,0
remedios;1;8186,774228772886;8186,774228772886;0,0;0,0;0,0;0,0;0,0;0,0;0,0
remerson;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
removido dpo;1;25,750510181781014;0,0;25,750510181781014;0,0;0,0;0,0;0,0;0,0;0,0
ren nolasco;2;17546,76806440481;17546,76806440481;0,0;0,0;0,0;0,0;0,0;0,0;0,0
renan laviola;2;8038,330960658121;0,0;8038,330960658121;0,0;0,0;0,0;0,0;0,0;0,0
renan rivero;3;71581,56416719157;62675,58127846272;8905,982888728846;0,0;0,0;0,0;0,0;0,0;0,0
renata aguiar;1;0,0;0,0;0,0;11200,916464524333;11200,916464524333;0,0;0,0;0,0;0,0
renata c b lzz;4;0,0;0,0;0,0;7664,532367550787;7664,532367550787;0,0;0,0;0,0;0,0
renata rinaldi;1;25753,59710377911;25753,59710377911;0,0;0,0;0,0;0,0;0,0;0,0;0,0
renata santos;1;0,0;0,0;0,0;166,88866466782736;166,88866466782736;0,0;0,0;0,0;0,0
renato betinho gagliardi;1;0,0;0,0;0,0;4454,109247790154;4454,109247790154;0,0;0,0;0,0;0,0
renato dal maso rodrigues;1;0,0;0,0;0,0;10667,148842802784;10667,148842802784;0,0;0,0;0,0;0,0
renato quirino;1;26652,028322627782;26652,028322627782;0,0;0,0;0,0;0,0;0,0;0,0;0,0
renato santos;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
renê moreira;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
repolho azedo;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
revelations - the darkness;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
revista elysium rpg's;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
revista o grito!;1;0,0;0,0;0,0;6348,849382545166;6348,849382545166;0,0;0,0;0,0;0,0
revoltirinhas;1;0,0;0,0;0,0;0,0;0,0;0,0;3384,2945739459933;3384,2945739459933;0,0
rey m.l.;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
reynerio espinoza;1;0,0;0,0;0,0;203,59266551388103;203,59266551388103;0,0;0,0;0,0;0,0
ricardo bastos;1;0,0;0,0;0,0;1025,0279795135414;1025,0279795135414;0,0;0,0;0,0;0,0
ricardo bruscagin morelatto;1;4149,874562499859;0,0;4149,874562499859;0,0;0,0;0,0;0,0;0,0;0,0
ricardo de souza kurth;1;0,0;0,0;0,0;1205,8950188129877;1205,8950188129877;0,0;0,0;0,0;0,0
ricardo diniz;2;0,0;0,0;0,0;1324,7334635768543;1324,7334635768543;0,0;0,0;0,0;0,0
ricardo foganholo;1;865,1196154515345;0,0;865,1196154515345;0,0;0,0;0,0;0,0;0,0;0,0
ricardo heavy;1;0,0;0,0;0,0;2952,2720446475414;2952,2720446475414;0,0;0,0;0,0;0,0
ricardo kuíca;2;792,1446326089283;792,1446326089283;0,0;9238,850946983031;9238,850946983031;0,0;0,0;0,0;0,0
ricardo tayra (saposvoadores);2;0,0;0,0;0,0;13189,96653370771;13189,96653370771;0,0;0,0;0,0;0,0
ricardo tokumoto;2;90805,93862113067;90805,93862113067;0,0;0,0;0,0;0,0;0,0;0,0;0,0
riccardo carnauba;1;0,0;0,0;0,0;28385,540666194476;28385,540666194476;0,0;0,0;0,0;0,0
richard cinti;2;0,0;0,0;0,0;6653,710839541617;6653,710839541617;0,0;0,0;0,0;0,0
richard dantas soares;1;10235,897613373609;10235,897613373609;0,0;0,0;0,0;0,0;0,0;0,0;0,0
richard furtado;1;4684,593822947365;0,0;4684,593822947365;0,0;0,0;0,0;0,0;0,0;0,0
rick bastos;2;11908,054079721012;8646,675323600617;3261,3787561203953;0,0;0,0;0,0;0,0;0,0;0,0
rick troula;1;23443,94438239509;23443,94438239509;0,0;0,0;0,0;0,0;0,0;0,0;0,0
risco editora;20;75805,93252731852;67557,96850911215;8247,964018206374;268088,70520575554;268088,70520575554;0,0;0,0;0,0;0,0
risco impresso;2;0,0;0,0;0,0;22787,86669271047;22787,86669271047;0,0;0,0;0,0;0,0
rita juliane rodrigues tatim;1;1147,970051043204;0,0;1147,970051043204;0,0;0,0;0,0;0,0;0,0;0,0
roberta cirne;5;3799,108602219874;0,0;3799,108602219874;18987,601628640117;18987,601628640117;0,0;0,0;0,0;0,0
robespierre a. souza;1;3825,45253933088;0,0;3825,45253933088;0,0;0,0;0,0;0,0;0,0;0,0
robiscos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
robson moura;5;16974,17457812255;15078,64333699742;1895,5312411251307;15680,433320673332;15680,433320673332;0,0;0,0;0,0;0,0
robson silva;1;395,97696189345567;0,0;395,97696189345567;0,0;0,0;0,0;0,0;0,0;0,0
robô ilustrador;1;0,0;0,0;0,0;0,0;0,0;0,0;34,88805614766413;34,88805614766413;0,0
rodrigo bueno;1;77163,33504797044;77163,33504797044;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo catraca;2;7854,979071557082;7854,979071557082;0,0;8487,41585367551;8487,41585367551;0,0;0,0;0,0;0,0
rodrigo de freitas;4;38158,29451827099;38158,29451827099;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo dos reis cabral;1;17671,065948768857;0,0;17671,065948768857;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo franco;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo geraldi;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo geraldo;1;639,6434193526808;0,0;639,6434193526808;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo nardotto;1;0,0;0,0;0,0;4749,507630583116;4749,507630583116;0,0;0,0;0,0;0,0
rodrigo ortiz vinholo;1;12913,67296761119;12913,67296761119;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo otäguro;1;14760,866400930943;14760,866400930943;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo ramos;1;0,0;0,0;0,0;9631,61443731936;9631,61443731936;0,0;0,0;0,0;0,0
rodrigo roddick;1;691,8421638219731;0,0;691,8421638219731;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo roza;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo serra brum machado;1;8612,619470292679;8612,619470292679;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo sérgio;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rodrigo talayer;2;0,0;0,0;0,0;32192,51431679094;32192,51431679094;0,0;0,0;0,0;0,0
rodrigo viegas;2;4607,874067770491;0,0;4607,874067770491;94,46168975706624;94,46168975706624;0,0;0,0;0,0;0,0
roger cruz;1;33636,287057026806;33636,287057026806;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rogerio casacurta;10;2813,576204881034;0,0;2813,576204881034;22469,096698068337;22469,096698068337;0,0;0,0;0,0;0,0
rogerio ferraz da silva;4;21771,925929373378;20755,42224457843;1016,5036847949486;13622,08479792982;13622,08479792982;0,0;0,0;0,0;0,0
rogerio marques de godoy;2;115,55786050010047;0,0;115,55786050010047;0,0;0,0;0,0;0,0;0,0;0,0
rogério faria;3;5506,897559528102;5506,897559528102;0,0;19716,996179435053;19716,996179435053;0,0;0,0;0,0;0,0
ronaldo felipe;1;302,6964692964797;0,0;302,6964692964797;0,0;0,0;0,0;0,0;0,0;0,0
ronaldo santana da silva;1;11093,667101535655;11093,667101535655;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ronin fanzine;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ronroncora;2;0,0;0,0;0,0;8396,051366473213;8396,051366473213;0,0;0,0;0,0;0,0
rosane sousa;1;0,0;0,0;0,0;2019,368258977816;2019,368258977816;0,0;0,0;0,0;0,0
rose gambit;1;4102,715385413255;0,0;4102,715385413255;0,0;0,0;0,0;0,0;0,0;0,0
rosemário souza;1;9836,531696758226;9836,531696758226;0,0;0,0;0,0;0,0;0,0;0,0;0,0
roteirista empreendedor;2;2598,0268490213193;0,0;2598,0268490213193;0,0;0,0;0,0;0,0;0,0;0,0
roy no multiverso / trinityverse!;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rpg draw (desenhos a mão livre);1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rpg faomatryxss;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rpgbrasil;1;1998,8045600514056;0,0;1998,8045600514056;0,0;0,0;0,0;0,0;0,0;0,0
rubros versos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rubyvlog;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ruis vargas;1;8971,139037143712;8971,139037143712;0,0;0,0;0,0;0,0;0,0;0,0;0,0
runes;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
rédi bortoluzzi;1;0,0;0,0;0,0;474,6697738577938;474,6697738577938;0,0;0,0;0,0;0,0
régis rocha;3;585,5584516531195;0,0;585,5584516531195;4021,960141688556;4021,960141688556;0,0;0,0;0,0;0,0
rômulo rpc;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sabatina geek;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sailorjubs;1;0,0;0,0;0,0;5326,866192364298;5326,866192364298;0,0;0,0;0,0;0,0
salário prós escr-dubladores;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sam fonseca;1;23307,05506408283;0,0;23307,05506408283;0,0;0,0;0,0;0,0;0,0;0,0
sam ruben ati hart;15;34780,887446051245;34780,887446051245;0,0;82042,22223728821;82042,22223728821;0,0;0,0;0,0;0,0
samanta hit;1;12364,19601758842;12364,19601758842;0,0;0,0;0,0;0,0;0,0;0,0;0,0
samuel de gois;1;104406,74168117522;104406,74168117522;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sander antonelli jr.;2;1510,0555316150085;0,0;1510,0555316150085;3889,105284253748;3889,105284253748;0,0;0,0;0,0;0,0
sandro marcelo farias;1;1688,7391809691392;0,0;1688,7391809691392;0,0;0,0;0,0;0,0;0,0;0,0
santo perspicaz, eu apoio!;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sapo autista;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sapo lendário;3;90570,70189989192;90570,70189989192;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sarah chibi arts;1;0,0;0,0;0,0;0,0;0,0;0,0;135,58772930605463;135,58772930605463;0,0
sarayu - an indie game development;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sayuritake;1;0,0;0,0;0,0;8584,702686079974;8584,702686079974;0,0;0,0;0,0;0,0
sce edições;2;0,0;0,0;0,0;3196,2589014226114;3196,2589014226114;0,0;0,0;0,0;0,0
seasons of avallen;1;0,0;0,0;0,0;0,0;0,0;0,0;18,81381988874265;18,81381988874265;0,0
seja um apoiador nerdlandia games;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
selo meia-noite;1;0,0;0,0;0,0;29,81192695893366;29,81192695893366;0,0;0,0;0,0;0,0
selva;1;6451,868636547535;0,0;6451,868636547535;0,0;0,0;0,0;0,0;0,0;0,0
sense life;1;0,0;0,0;0,0;0,0;0,0;0,0;606,0385278682269;606,0385278682269;0,0
septversum;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
"sergio "" rokko"" martinelli";1;1936,8751521867248;0,0;1936,8751521867248;0,0;0,0;0,0;0,0;0,0;0,0
sergio barretto;2;20415,522793131153;16655,50106504441;3760,0217280867437;0,0;0,0;0,0;0,0;0,0;0,0
sergio chaves;1;10903,885704929193;10903,885704929193;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sergio dos santos;1;509,3949023908545;0,0;509,3949023908545;0,0;0,0;0,0;0,0;0,0;0,0
sertão arte memória;1;0,0;0,0;0,0;1793,413480944054;1793,413480944054;0,0;0,0;0,0;0,0
sessão vip;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
seu android;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
shara de fênix;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sharon cardoso;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
shiki animes;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
shoidan - historia em quadrinhos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
shonen comics;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sillas, o autor;1;0,0;0,0;0,0;4620,571477418611;4620,571477418611;0,0;0,0;0,0;0,0
silva joão;1;48852,43247657282;48852,43247657282;0,0;0,0;0,0;0,0;0,0;0,0;0,0
silvia zatta gonzatto;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
silvio db;1;5571,542185286931;5571,542185286931;0,0;0,0;0,0;0,0;0,0;0,0;0,0
silvio spotti;1;19,363136577379823;0,0;19,363136577379823;0,0;0,0;0,0;0,0;0,0;0,0
sinerverso produções;2;0,0;0,0;0,0;13974,761734610245;13974,761734610245;0,0;0,0;0,0;0,0
singularmente;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sintel star;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sirlanney;1;41422,60130243778;41422,60130243778;0,0;0,0;0,0;0,0;0,0;0,0;0,0
skat!;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
sketch comics;1;0,0;0,0;0,0;8098,696645332989;8098,696645332989;0,0;0,0;0,0;0,0
skript editora;181;3711,4793725578156;3711,4793725578156;0,0;2458348,222664528;2458348,222664528;0,0;0,0;0,0;0,0
