ano;total;total_sucesso;arrecadado_sucesso;taxa_sucesso;media_sucesso
2016;35;27,0;229479,31504658738;0,7714285714285715;8499,233890614347
2017;85;61,0;443808,4392073268;0,7176470588235294;7275,548183726669
2018;140;126,0;990596,2768470467;0,9;7861,875213071799
2019;159;148,0;1043426,0648128928;0,9308176100628931;7050,176113600627
2020;186;182,0;2597634,6374024395;0,978494623655914;14272,717787925492
