geral_modalidade;mencoes_terror;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;839;503,0;0,6284644194756555;0,599523241954708;14584160,437593019;28994,3547467058;39962,68487824415;41,81688448509265;396557,4961875453
aon;True;496;327,0;0,37153558052434454;0,6592741935483871;9479119,38973001;28988,13269030584;51783,64819049771;787,1021772339901;679297,6600721752
flex;False;784;710,0;0,5340599455040872;0,9056122448979592;7672819,5075376835;10806,78803878547;24052,24361279731;10,771639144290464;374565,1458002281
flex;True;684;673,0;0,4659400544959128;0,9839181286549707;10689312,430021416;15883,079390819341;41769,03302774523;29,81192695893366;708972,7845446636
sub;False;613;126,0;0,8961988304093568;0,20554649265905384;33433,962649788635;265,3489099189574;562,9954999959409;1,0873969624101234;3475,049171548047
sub;True;71;26,0;0,10380116959064327;0,36619718309859156;9752,995104996171;375,1151963460066;980,436474286025;6,098311514417047;5087,076865717208
