geral_modalidade;mencoes_politica;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1095;676;82,02247191011236;61,7351598173516;19080546,637455627;28225,660706295308;47064,70876106371;41,81688448509265;679297,6600721752;90,1471541030692;211660;313,1065088757396
aon;True;240;154;17,97752808988764;64,16666666666667;4982733,1898674015;32355,410323814296;34162,57496563493;54,53892516702949;215281,29392708265;96,0193704327636;51893;336,96753246753246
flex;False;1109;1032;75,54495912806539;93,05680793507665;13033206,059429308;12629,075638981887;37221,11089608707;10,771639144290464;708972,7845446636;88,3098286372552;147585;143,00872093023256
flex;True;359;351;24,455040871934607;97,7715877437326;5328925,8781297915;15182,125008916784;21474,71883631779;28,492104927995463;157001,79966210373;95,05584770392593;56061;159,71794871794873
sub;False;620;128;90,64327485380117;20,64516129032258;33225,36459550618;259,57316090239203;546,5744596935226;2,0220843066000507;3475,049171548047;17,70131305034959;1877;14,6640625
sub;True;64;24;9,35672514619883;37,5;9961,593159278618;415,0663816366091;1052,5841540269919;1,0873969624101234;5087,076865717208;30,09544761111365;331;13,791666666666666
