geral_modalidade;mencoes_fiq;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1116;668;83,59550561797752;59,85663082437276;19242021,97758244;28805,4221221294;46481,141145978516;41,81688448509265;679297,6600721752;92,2414226772246;208605;312,2829341317365
aon;True;219;162;16,40449438202247;73,97260273972603;4821257,849740589;29760,850924324623;38181,97911034847;1405,425637867093;396557,4961875453;87,74218988390095;54948;339,18518518518516
flex;False;1321;1241;89,98637602179836;93,94398183194551;15644764,940548493;12606,579323568487;28732,87134197381;10,771639144290464;475290,95413639606;89,51886785425282;174765;140,825946817083
flex;True;147;142;10,013623978201634;96,5986394557823;2717366,9970106073;19136,387302891602;63151,49512725792;39,62898446130542;708972,7845446636;94,08839711265563;28881;203,38732394366198
sub;False;647;141;94,5906432748538;21,792890262751158;39262,477251263124;278,4572854699512;662,5391684505818;1,0873969624101234;5087,076865717208;19,152427927445427;2050;14,539007092198581
sub;True;37;11;5,409356725146199;29,72972972972973;3924,480503521683;356,77095486560756;489,3711670821388;10,981621647967827;1753,3657333053518;24,838484199504325;158;14,363636363636363
