geral_modalidade;mencoes_jogos;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1051;629;78,72659176029963;59,84776403425309;18458513,505997837;29345,808435608644;42800,978897682675;41,81688448509265;537544,5528256212;91,17116223450478;202460;321,8759936406995
aon;True;284;201;21,273408239700377;70,77464788732394;5604766,32132519;27884,409558831794;51240,254659655824;1411,8635959528283;679297,6600721752;91,74154684374953;61093;303,9452736318408
flex;False;1147;1068;78,13351498637601;93,11246730601569;13714158,758518226;12840,972620335418;34241,82495675489;10,771639144290464;708972,7845446636;90,6205976008235;151336;141,7003745318352
flex;True;321;315;21,86648501362398;98,13084112149532;4647973,179040875;14755,470409653572;32882,798519211276;40,21627066051904;475290,95413639606;88,85439072913162;52310;166,06349206349208
sub;False;623;135;91,08187134502924;21,669341894060995;35385,59168921323;262,1154939941721;548,2267334531083;1,0873969624101234;3475,049171548047;18,287127487965492;1935;14,333333333333334
sub;True;61;17;8,91812865497076;27,86885245901639;7801,366065571573;458,90388621009254;1200,333675619392;6,098311514417047;5087,076865717208;28,576432474621146;273;16,058823529411764
