geral_modalidade;mencoes_saloes_humor;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1319;818;98,80149812734082;62,0166793025019;23900709,901345573;29218,47176203615;45235,9188994265;41,81688448509265;679297,6600721752;91,4649646065806;261310;319,4498777506112
aon;True;16;12;1,198501872659176;75,0;162569,92597745277;13547,493831454398;10287,95417495333;459,38857859542384;29349,351548220508;72,47879000332269;2243;186,91666666666666
flex;False;1454;1369;99,04632152588556;94,15405777166438;18218816,148506805;13308,119903949457;34075,00968439441;10,771639144290464;708972,7845446636;90,1751955003851;202038;147,5807158509861
flex;True;14;14;0,9536784741144414;100,0;143315,7890522928;10236,842075163771;15061,815494057897;88,74552086502507;50948,856987371255;89,1267344852567;1608;114,85714285714286
sub;False;683;152;99,85380116959064;22,25475841874085;43186,9577547848;284,12472207095266;650,5808076401024;1,0873969624101234;5087,076865717208;19,55931057734819;2208;14,526315789473685
sub;True;1;0;0,14619883040935672;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,0
