geral_modalidade;mencoes_fantasia;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1056;650;79,10112359550561;61,5530303030303;19246444,22892712;29609,914198349416;48242,7196834638;41,81688448509265;679297,6600721752;91,85312348260253;209535;322,3615384615385
aon;True;279;180;20,89887640449438;64,51612903225806;4816835,598395908;26760,197768866157;30295,08564925056;94,898114598278;264585,9073482947;89,17093558435907;54018;300,1
flex;False;1142;1065;77,79291553133515;93,25744308231172;12621534,915412713;11851,206493345271;29509,208314306878;10,771639144290464;475290,95413639606;89,37434882498151;141221;132,6018779342723
flex;True;326;318;22,20708446866485;97,54601226993866;5740597,022146388;18052,1918935421;45474,46746319437;43,14189436787808;708972,7845446636;91,95990423942952;62425;196,30503144654088
sub;False;643;136;94,00584795321637;21,15085536547434;41223,615551135015;303,1148202289339;684,0638320652124;1,0873969624101234;5087,076865717208;19,362900681604046;2129;15,654411764705882
sub;True;41;16;5,994152046783626;39,02439024390244;1963,342203649789;122,70888772811182;134,9786244833396;5,2782440282253775;538,4389998789497;24,852432957592267;79;4,9375
