geral_modalidade;mencoes_folclore;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1135;690;85,0187265917603;60,792951541850215;19555959,932413727;28341,97091654163;44866,476193179566;41,81688448509265;679297,6600721752;92,42558549437925;211586;306,6463768115942
aon;True;200;140;14,981273408239701;70,0;4507319,894909304;32195,142106495026;45455,39030881756;1081,4725700867623;396557,4961875453;86,73427165141923;51967;371,1928571428571
flex;False;1177;1098;80,17711171662125;93,28802039082413;13275158,228946082;12090,308040934502;28982,021570173896;10,771639144290464;475290,95413639606;88,21289274334562;150490;137,05828779599273
flex;True;291;285;19,82288828337875;97,9381443298969;5086973,708613019;17849,03055653691;48299,82963154622;55,43454979817118;708972,7845446636;95,69895606541161;53156;186,51228070175438
sub;False;660;141;96,49122807017544;21,363636363636363;41071,67455498042;291,2884720211377;669,0711341831277;1,0873969624101234;5087,076865717208;19,42841748106926;2114;14,99290780141844
sub;True;24;11;3,508771929824561;45,83333333333333;2115,2831998043894;192,29847270948994;337,595798278262;6,098311514417047;1135,983432845721;22,503012763876484;94;8,545454545454545
