geral_modalidade;mencoes_ccxp;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;1179;704,0;0,8831460674157303;0,5971162001696353;21202461,38872604;30117,1326544404;47960,706566787136;41,81688448509265;679297,6600721752
aon;True;156;126,0;0,11685393258426967;0,8076923076923077;2860818,4385969862;22704,908242833226;20582,18081328499;1720,6592753700209;154365,9837040891
flex;False;1293;1208,0;0,8807901907356949;0,934261407579273;15952537,735085879;13205,743158183674;35396,121537938285;10,771639144290464;708972,7845446636
flex;True;175;175,0;0,11920980926430517;1,0;2409594,2024732213;13769,109728418407;21333,700825493444;313,2716886535385;121747,79849108716
sub;False;678;147,0;0,9912280701754386;0,2168141592920354;41148,96897529707;279,92495901562637;649,3661034486928;1,0873969624101234;5087,076865717208
sub;True;6;5,0;0,008771929824561403;0,8333333333333334;2037,9887794877284;407,59775589754565;752,9936319265861;40,66419228170764;1753,3657333053518
