ano;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
2016;35;27,0;100,0;77,14285714285715;282854,06160762324;10476,076355837899;22534,30873112471;35,53279454902379;112920,94882807804;123,89577818993571;2283,0;84,55555555555556
2017;85;61,0;100,0;71,76470588235294;547034,1393517209;8967,77277625772;15401,01801371438;34,74344187043801;95563,29532884162;84,9695774078473;6438,0;105,54098360655738
2018;140;126,0;100,0;90,0;1220999,7239302094;9690,473999446107;22024,705226719594;100,53534032317498;200069,5140664897;81,37285730957744;15005,0;119,08730158730158
2019;159;148,0;100,0;93,08176100628931;1286117,2274270956;8689,981266399294;15794,776672580894;29,81192695893366;152784,2145360522;86,53146924760114;14863,0;100,42567567567568
2020;186;182,0;100,0;97,84946236559139;3201820,20594214;17592,418713967803;50496,83999940555;37,88389448447008;475290,95413639606;99,35826860953111;32225,0;177,06043956043956
2021;286;274,0;100,0;95,8041958041958;5011848,0967130335;18291,416411361435;47799,722607457465;11,933436257746523;708972,7845446636;93,12240982372786;53820,0;196,42335766423358
2022;308;305,0;100,0;99,02597402597402;4130315,0216756104;13542,016464510198;30195,27723812832;10,771639144290464;374565,1458002281;82,8764777509804;49837,0;163,4
2023;269;260,0;100,0;96,6542750929368;2681143,460911666;10312,090234275638;18179,720048536175;40,21627066051904;187832,6863604134;91,8986618992859;29175,0;112,21153846153847
