menção;total;aon;aon_sucesso;aon_falha;aon_particip;aon_taxa_sucesso;aon_valor_sucesso;aon_media_sucesso;aon_std_sucesso;aon_min_sucesso;aon_max_sucesso;flex;flex_sucesso;flex_falha;flex_particip;flex_taxa_sucesso;flex_valor_sucesso;flex_media_sucesso;flex_std_sucesso;flex_min_sucesso;flex_max_sucesso;sub;sub_sucesso;sub_falha;sub_particip;sub_taxa_sucesso;sub_valor_sucesso;sub_media_sucesso;sub_std_sucesso;sub_min_sucesso;sub_max_sucesso
jogos;666;284,0;201,0;83,0;0,21273408239700375;0,7077464788732394;5604766,32132519;27884,409558831794;51240,254659655824;1411,8635959528283;679297,6600721752;321,0;315,0;6,0;0,2186648501362398;0,9813084112149533;4647973,179040875;14755,470409653572;32882,798519211276;40,21627066051904;475290,95413639606;61,0;17,0;44,0;0,0891812865497076;0,2786885245901639;7801,366065571573;458,90388621009254;1200,333675619392;6,098311514417047;5087,076865717208
lgbtqiamais;232;82,0;58,0;24,0;0,06142322097378277;0,7073170731707317;1602557,6232365344;27630,303848905765;38892,54053994336;721,7894130003107;264456,5194757923;135,0;134,0;1,0;0,09196185286103542;0,9925925925925926;2141898,6241624174;15984,318090764309;20504,03705709762;23,05352861032933;103442,8700368614;15,0;3,0;12,0;0,021929824561403508;0,2;2415,2724807714076;805,0908269238025;862,7300194303008;66,5973394317372;1753,3657333053518
midia_independente;322;140,0;97,0;43,0;0,10486891385767791;0,6928571428571428;4218883,099892105;43493,64020507325;57897,47966668471;1405,425637867093;264585,9073482947;105,0;100,0;5,0;0,07152588555858311;0,9523809523809523;1723418,1039972503;17234,181039972504;24079,227846306243;42,00986548030816;133783,36719834473;77,0;18,0;59,0;0,11257309941520467;0,23376623376623376;8295,097389970326;460,8387438872403;1164,1250996366462;5,258713987810351;5087,076865717208
politica;663;240,0;154,0;86,0;0,1797752808988764;0,6416666666666667;4982733,1898674015;32355,410323814296;34162,57496563493;54,53892516702949;215281,29392708265;359,0;351,0;8,0;0,24455040871934605;0,9777158774373259;5328925,8781297915;15182,125008916784;21474,71883631779;28,492104927995463;157001,79966210373;64,0;24,0;40,0;0,0935672514619883;0,375;9961,593159278618;415,0663816366091;1052,5841540269919;1,0873969624101234;5087,076865717208
questoes_genero;108;35,0;24,0;11,0;0,026217228464419477;0,6857142857142857;622913,4565716616;25954,72735715257;26184,676618367037;3366,13723259077;123112,70224809588;66,0;65,0;1,0;0,04495912806539509;0,9848484848484849;1420244,2963458067;21849,91225147395;87169,6152740344;100,53534032317498;708972,7845446636;7,0;2,0;5,0;0,01023391812865497;0,2857142857142857;2348,6751413396705;1174,3375706698353;818,8694805951217;595,3094080343188;1753,3657333053518
religiosidade;850;360,0;211,0;149,0;0,2696629213483146;0,5861111111111111;6620001,7993108425;31374,416110477927;59614,08605582522;322,2027789591561;679297,6600721752;436,0;423,0;13,0;0,2970027247956403;0,9701834862385321;6782493,256416705;16034,263017533583;48218,36652844157;42,00986548030816;708972,7845446636;54,0;18,0;36,0;0,07894736842105263;0,3333333333333333;8645,091310133475;480,28285056297085;1163,398273955169;6,098311514417047;5087,076865717208
saloes_humor;31;16,0;12,0;4,0;0,01198501872659176;0,75;162569,92597745277;13547,493831454398;10287,95417495333;459,38857859542384;29349,351548220508;14,0;14,0;0,0;0,009536784741144414;1,0;143315,7890522928;10236,842075163771;15061,815494057897;88,74552086502507;50948,856987371255;1,0;0,0;1,0;0,0014619883040935672;0,0;0,0;0,0;0,0;0,0;0,0
terror;1251;496,0;327,0;169,0;0,37153558052434454;0,6592741935483871;9479119,38973001;28988,13269030584;51783,64819049771;787,1021772339901;679297,6600721752;684,0;673,0;11,0;0,4659400544959128;0,9839181286549707;10689312,430021416;15883,079390819341;41769,03302774523;29,81192695893366;708972,7845446636;71,0;26,0;45,0;0,10380116959064327;0,36619718309859156;9752,995104996171;375,1151963460066;980,436474286025;6,098311514417047;5087,076865717208
webformatos;259;119,0;89,0;30,0;0,08913857677902622;0,7478991596638656;2104894,5841905596;23650,500945961343;22257,37070968975;3458,599440871384;136747,59853902034;105,0;103,0;2,0;0,07152588555858311;0,9809523809523809;1378381,6223108876;13382,34584767852;46750,77428825444;298,2574352235075;475290,95413639606;35,0;17,0;18,0;0,05116959064327485;0,4857142857142857;1553,8156921042103;91,40092306495355;144,49373560667635;1,0873969624101234;575,827236940745
zine;404;164,0;112,0;52,0;0,12284644194756554;0,6829268292682927;2315707,644801917;20675,96111430283;20218,376160867832;54,53892516702949;161153,62810717168;212,0;211,0;1,0;0,1444141689373297;0,9952830188679245;2101687,0693646087;9960,60222447682;16847,679547904263;35,53279454902379;200069,5140664897;28,0;9,0;19,0;0,04093567251461988;0,32142857142857145;1104,6459692570356;122,73844102855952;166,63072841739427;6,098311514417047;538,4389998789497
