ano;total;total_sucesso;arrecadado_sucesso;taxa_sucesso;media_sucesso
2011;2;1,0;43494,06146653609;0,5;43494,06146653609
2012;22;16,0;338845,2563337188;0,7272727272727273;21177,828520857423
2013;53;43,0;1009791,7448822483;0,8113207547169812;23483,528950749962
2014;62;38,0;821806,649582132;0,6129032258064516;21626,490778477157
2015;133;69,0;1285760,4611749307;0,518796992481203;18634,209582245374
2016;125;72,0;1147944,2926820072;0,576;15943,670731694545
