autoria_nome_publico;total
bruno seelig;1
bruno sorc;2
bruno telles de moura;1
bruno villela;1
bräo;5
bucaneiro nerd;1
bucanera pelo mundo;1
bunda;4
buscando uma nova odisséia;1
bárbara amádio;1
bárbara bueno;1
bárbara machado;5
c.j;3
c4 studio;1
cabrera;1
cadu simões;3
café cartum;1
café com leite e tiras do la cruz;1
cah poszar;2
caio augusto simões dos santos;1
caio castellucci;1
caio césar;1
caio majado;1
caio oliveira;9
caique felipe serafim dos santos;1
caixa do remedios;1
caixopolis;1
calfa;3
calvin golcal;1
camila abdanur;2
camila batista;1
camila loricchio;1
camila reis;1
camilo borges;1
canal adailson ferreira;1
canal de short - fred whatever;1
canal desenhos do tiburcio;1
canal do tony;1
canal lute pela revolução;1
canal marvei;2
canal ocontrollador;1
canal prodigy nerd;1
canal que?! games!;1
canal quimera;1
canal side quest;1
canal sralonez;1
canal sunrett;1
canal walace;1
canhotorium arte aplicada;1
canoa de tolda;1
capa comics;1
capinaremos;1
capitão barba;1
capitão miolo-mole;1
caricatiras;1
carla pilla;1
carlo iotti;1
carlos alberto silva;1
carlos avalone;1
carlos baku;1
carlos brandino;1
carlos eduardo cunha;2
carlos fabiano pinto da silva;2
carlos felipe de c. r. figueiras;6
carlos henrique de souza  carnaúba;2
carlos jenisch;1
carlos lopes da silva antonio;1
carlos rocha;1
carlos ruas;8
carol  studzinski;2
carol cunha;2
carol rossetti;2
carolina sobreira;1
caroline calzolari;2
caroline menegaz;1
carreira do desenhista;1
cartoonzando;1
cartunista das cavernas;5
casca-de-noz;1
cassio ribeiro;1
cat madê;1
catharina baltar;2
cauê rebouças;2
cavalcanti jr.;1
caverna do refúgio;1
cecilia ramos;2
cecilia tangerina faz quadrinhos!;1
celso oliveira menezes;1
central hqs;1
cezar calvin;1
chairim;2
chandelly kidman;1
charges do vinoli;1
charles mos;1
charles ribeiro pinheiro;2
chateados-scans | financiamento!;1
chiaroscuro studios;6
chico oliveira;1
chris machado;1
chris nazza;1
chris pereira;1
chris tex;2
chuva de zine;1
cháfrito;1
cientirinhas;1
cinemantenado;1
clara carvalho;1
clari cabral;1
clarice frança;1
clarissa paiva;1
claudio alves;1
claudio gonçalves claudião;1
clave;1
clayton cardoso;1
clayton inloco;4
clayton ramos rabelo;1
clemyisdying campaign;1
cleyton duarte carriço;2
clio editora;1
clube da hq barras;1
clube de apoio ao giu desenhos;1
clube de assinatura helôilustra;1
clube de assinaturas: hana karnon;1
clube do alfredo;1
clube do bastiaograms;1
clube do blue;1
clube do pedro leite;1
