geral_modalidade;mencoes_midia_independente;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1195;733;89,51310861423221;61,33891213389121;19844396,72743092;27072,846831420084;42641,34714848038;41,81688448509265;679297,6600721752;88,07870613099213;225303;307,3710777626194
aon;True;140;97;10,486891385767791;69,28571428571428;4218883,099892105;43493,64020507325;57897,47966668471;1405,425637867093;264585,9073482947;110,29759738280013;38250;394,3298969072165
flex;False;1363;1283;92,8474114441417;94,13059427732942;16638713,833561849;12968,600026158885;34573,219349063285;10,771639144290464;708972,7845446636;88,66083985763;187667;146,27201870615744
flex;True;105;100;7,152588555858311;95,23809523809523;1723418,1039972503;17234,181039972504;24079,227846306243;42,00986548030816;133783,36719834473;107,85519143859129;15979;159,79
sub;False;607;134;88,74269005847954;22,075782537067546;34891,86036481448;260,38701764786924;550,0223708056054;1,0873969624101234;3475,049171548047;17,985495033409524;1940;14,477611940298507
sub;True;77;18;11,257309941520468;23,376623376623375;8295,097389970326;460,8387438872403;1164,1250996366462;5,258713987810351;5087,076865717208;30,951855932725095;268;14,88888888888889
