geral_modalidade;mencoes_erotismo;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1212;748;90,78651685393258;61,71617161716172;21757202,09950364;29087,168582224116;46703,03684884089;41,81688448509265;679297,6600721752;91,51563705136908;237743;317,8382352941176
aon;True;123;82;9,213483146067416;66,66666666666666;2306077,7278193873;28122,899119748625;23954,888052828785;1990,9450708267;125535,7448333134;89,34822657184763;25810;314,7560975609756
flex;False;1261;1179;85,89918256130791;93,49722442505947;15125494,32171923;12829,087635045997;35228,71889645175;10,771639144290464;708972,7845446636;89,68836503732236;168645;143,0407124681934
flex;True;207;204;14,100817438692099;98,55072463768117;3236637,6158398706;15865,87066588172;25100,55603426701;45,243304493083926;200069,5140664897;92,47271837489988;35001;171,5735294117647
sub;False;661;147;96,6374269005848;22,239031770045386;37037,75947112042;251,9575474225879;526,3806978076288;1,0873969624101234;3475,049171548047;18,137982111224495;2042;13,891156462585034
sub;True;23;5;3,3625730994152043;21,73913043478261;6149,198283664386;1229,839656732877;2169,930045219226;6,627188424929332;5087,076865717208;37,043363154604734;166;33,2
