geral_modalidade;geral_uf_br;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
flex;RJ;163;150,0;0,11103542234332425;0,9202453987730062;2121729,2955020736;14144,861970013824;20277,983703677834;10,771639144290464;142477,56889749615
flex;RN;6;3,0;0,004087193460490463;0,5;25188,920131547988;8396,306710515995;11215,069546606765;148,23842484583804;21166,42737277812
flex;RO;4;4,0;0,0027247956403269754;1,0;5636,427833217705;1409,1069583044261;1366,75204958783;131,70152768448625;3310,9589268623004
flex;RS;142;141,0;0,09673024523160763;0,9929577464788732;1762708,3254639073;12501,477485559626;18586,72140114071;57,99079237651673;118699,04158755444
flex;SC;21;18,0;0,01430517711171662;0,8571428571428571;88617,5736674378;4923,1985370798775;7139,533993181093;42,00986548030816;28385,540666194476
flex;SE;2;1,0;0,0013623978201634877;0,5;2029,9582667966351;2029,9582667966351;0,0;2029,9582667966351;2029,9582667966351
flex;SP;766;732,0;0,5217983651226158;0,9556135770234987;12045946,34300122;16456,21085109456;44170,98264290044;23,05352861032933;708972,7845446636
sub;AL;5;0,0;0,007309941520467836;0,0;0,0;0,0;0,0;0,0;0,0
sub;AM;13;1,0;0,019005847953216373;0,07692307692307693;2,0220843066000507;2,0220843066000507;0,0;2,0220843066000507;2,0220843066000507
sub;AP;2;1,0;0,0029239766081871343;0,5;70,01644246718027;70,01644246718027;0,0;70,01644246718027;70,01644246718027
sub;BA;25;4,0;0,03654970760233918;0,16;392,1183311220419;98,02958278051048;24,95110894510085;76,67995274221305;127,07338982270495
sub;CE;26;8,0;0,038011695906432746;0,3076923076923077;615,9557450983459;76,99446813729324;87,1972945851718;3,1579063728915937;252,2313949797012
sub;DF;10;5,0;0,014619883040935672;0,5;1789,0008430378762;357,80016860757524;222,39093782085456;102,00732694051096;606,0385278682269
sub;ES;12;5,0;0,017543859649122806;0,4166666666666667;476,3857300579342;95,27714601158684;141,2368027339907;10,539624720389169;344,6924526172948
sub;GO;6;1,0;0,008771929824561403;0,16666666666666666;277,46702737024793;277,46702737024793;0,0;277,46702737024793;277,46702737024793
sub;MA;11;2,0;0,01608187134502924;0,18181818181818182;55,76324071713179;27,881620358565893;30,058305901084633;6,627188424929332;49,13605229220246
sub;MG;62;10,0;0,09064327485380116;0,16129032258064516;4465,642445224071;446,5642445224071;1066,779385589969;7,154956142241136;3475,049171548047
sub;MT;1;0,0;0,0014619883040935672;0,0;0,0;0,0;0,0;0,0;0,0
sub;PA;16;4,0;0,023391812865497075;0,25;293,86736145190446;73,46684036297611;66,13950748825135;5,2782440282253775;157,76141963431053
sub;PB;11;1,0;0,01608187134502924;0,09090909090909091;140,1770087811759;140,1770087811759;0,0;140,1770087811759;140,1770087811759
sub;PE;23;6,0;0,033625730994152045;0,2608695652173913;1088,702851469992;181,45047524499867;209,31670680150245;5,258713987810351;538,0691152081814
sub;PI;7;0,0;0,01023391812865497;0,0;0,0;0,0;0,0;0,0;0,0
sub;PR;42;12,0;0,06140350877192982;0,2857142857142857;4227,195046500177;352,2662538750148;491,7537895482428;6,33418978999241;1809,0985212117596
sub;RJ;86;22,0;0,12573099415204678;0,2558139534883721;6116,277691639392;278,0126223472451;408,5618694269099;3,800513873995445;1594,029696524064
sub;RN;7;0,0;0,01023391812865497;0,0;0,0;0,0;0,0;0,0;0,0
sub;RO;2;0,0;0,0029239766081871343;0,0;0,0;0,0;0,0;0,0;0,0
sub;RS;55;14,0;0,0804093567251462;0,2545454545454545;4193,00279039306;299,50019931379;239,16623897361924;1,0873969624101234;657,0789958678034
sub;SC;14;2,0;0,02046783625730994;0,14285714285714285;2207,972467118993;1103,9862335594964;918,3612956676446;454,6067338136409;1753,3657333053518
sub;SE;10;1,0;0,014619883040935672;0,1;53,85819572145232;53,85819572145232;0,0;53,85819572145232;53,85819572145232
sub;SP;229;53,0;0,3347953216374269;0,2314410480349345;16721,532452307227;315,5006123076835;902,6930020949623;3,799754022893506;5087,076865717208
sub;TO;1;0,0;0,0014619883040935672;0,0;0,0;0,0;0,0;0,0;0,0
sub;XX;8;0,0;0,011695906432748537;0,0;0,0;0,0;0,0;0,0;0,0
