geral_modalidade;mencoes_ficcao_cientifica;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;1039;651,0;0,7782771535580524;0,6265640038498557;18661633,680663947;28666,103964153528;44525,51900988264;41,81688448509265;679297,6600721752
aon;True;296;179,0;0,22172284644194756;0,6047297297297297;5401646,146659081;30176,79411541386;46623,43714083682;54,53892516702949;537544,5528256212
flex;False;1116;1045,0;0,7602179836512262;0,9363799283154122;13073618,329490332;12510,639549751513;30558,59191293883;23,05352861032933;475290,95413639606
flex;True;352;338,0;0,23978201634877383;0,9602272727272727;5288513,608068768;15646,489964700497;42686,00050640347;10,771639144290464;708972,7845446636
sub;False;613;135,0;0,8961988304093568;0,22022838499184338;41147,504087944435;304,7963265773662;685,6746025059557;1,0873969624101234;5087,076865717208
sub;True;71;17,0;0,10380116959064327;0,23943661971830985;2039,4536668403684;119,96786275531579;157,26457514831185;2,0220843066000507;538,4389998789497
