geral_modalidade;mencoes_webformatos;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1216;741;91,08614232209737;60,9375;21958385,24313247;29633,448371298877;46925,00670579122;41,81688448509265;679297,6600721752;92,19084927254757;238184;321,43589743589746
aon;True;119;89;8,913857677902621;74,78991596638656;2104894,5841905596;23650,500945961343;22257,37070968975;3458,599440871384;136747,59853902034;82,97112949625762;25369;285,0449438202247
flex;False;1363;1280;92,8474114441417;93,91049156272928;16983750,315248214;13268,554933787667;32710,941512417477;10,771639144290464;708972,7845446636;90,90970086312072;186820;145,953125
flex;True;105;103;7,152588555858311;98,09523809523809;1378381,6223108876;13382,34584767852;46750,77428825444;298,2574352235075;475290,95413639606;81,91974458046401;16826;163,35922330097088
sub;False;649;135;94,88304093567251;20,801232665639446;41633,14206268059;308,3936449087451;684,9478365287579;2,0220843066000507;5087,076865717208;19,815869615745164;2101;15,562962962962963
sub;True;35;17;5,116959064327485;48,57142857142857;1553,8156921042103;91,40092306495355;144,49373560667635;1,0873969624101234;575,827236940745;14,52164198228234;107;6,294117647058823
