geral_modalidade;mencoes_hqmix;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;1213;722;90,86142322097378;59,52184666117065;20304271,96073176;28122,26033342349;37985,4784064076;41,81688448509265;537544,5528256212
aon;True;122;108;9,138576779026216;88,52459016393442;3759007,866591265;34805,628394363564;76815,19294381328;787,1021772339901;679297,6600721752
flex;False;1300;1215;88,5558583106267;93,46153846153847;15608053,436697247;12846,134515800202;31586,749243787744;10,771639144290464;708972,7845446636
flex;True;168;168;11,444141689373296;100,0;2754078,5008618515;16393,324409891975;47599,92946885034;105,56771048386253;442290,11135608936
sub;False;679;149;99,26900584795322;21,944035346097202;41126,158242806436;276,01448485104993;645,5628234101151;1,0873969624101234;5087,076865717208
sub;True;5;3;0,7309941520467835;60,0;2060,799511978374;686,933170659458;931,6109153745095;31,487229919022084;1753,3657333053518
