geral_modalidade;mencoes_terror;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;839;503;62,846441947565545;59,952324195470794;14584160,437593019;28994,3547467058;39962,68487824415;41,81688448509265;396557,4961875453;94,10714337626324;154974;308,09940357852884
aon;True;496;327;37,153558052434455;65,92741935483872;9479119,38973001;28988,13269030584;51783,64819049771;787,1021772339901;679297,6600721752;87,3015904523896;108579;332,04587155963304
flex;False;784;710;53,40599455040872;90,56122448979592;7672819,5075376835;10806,78803878547;24052,24361279731;10,771639144290464;374565,1458002281;86,43287869528324;88772;125,03098591549296
flex;True;684;673;46,59400544959128;98,39181286549707;10689312,430021416;15883,079390819341;41769,03302774523;29,81192695893366;708972,7845446636;93,05249603932496;114874;170,6894502228826
sub;False;613;126;89,61988304093568;20,554649265905383;33433,962649788635;265,3489099189574;562,9954999959409;1,0873969624101234;3475,049171548047;18,688632000999796;1789;14,198412698412698
sub;True;71;26;10,380116959064328;36,61971830985916;9752,995104996171;375,1151963460066;980,436474286025;6,098311514417047;5087,076865717208;23,27683795941807;419;16,115384615384617
