geral_modalidade;mencoes_zine;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;False;1171;718;87,71535580524345;61,31511528608027;21747572,182521112;30289,09774724389;47556,14429998395;41,81688448509265;679297,6600721752;92,54049761504434;235006;327,30640668523677
aon;True;164;112;12,284644194756554;68,29268292682927;2315707,644801917;20675,96111430283;20218,376160867832;54,53892516702949;161153,62810717168;81,11912441944573;28547;254,88392857142858
flex;False;1256;1172;85,55858310626702;93,31210191082803;16260444,86819449;13874,099716889497;36136,27589176042;10,771639144290464;708972,7845446636;91,96147942061606;176818;150,86860068259386
flex;True;212;211;14,441416893732969;99,52830188679245;2101687,0693646087;9960,60222447682;16847,679547904263;35,53279454902379;200069,5140664897;78,3393122619878;26828;127,14691943127963
sub;False;656;143;95,90643274853801;21,798780487804876;42082,31178552777;294,2819005980963;668,4029432830438;1,0873969624101234;5087,076865717208;19,455530182860734;2163;15,125874125874127
sub;True;28;9;4,093567251461988;32,142857142857146;1104,6459692570356;122,73844102855952;166,63072841739427;6,098311514417047;538,4389998789497;24,547688205711903;45;5,0
