geral_modalidade;origem;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;catarse;1335;830,0;1,0;0,6217228464419475;24063279,827323027;28991,903406413287;44961,935369492014;41,81688448509265;679297,6600721752
flex;apoia.se;5;0,0;0,0034059945504087193;0,0;0,0;0,0;0,0;0,0;0,0
flex;catarse;1463;1383,0;0,9965940054495913;0,9453178400546821;18362131,937559098;13277,029600548878;33934,82811955066;10,771639144290464;708972,7845446636
sub;apoia.se;627;137,0;0,9166666666666666;0,21850079744816586;39550,43984210649;288,68934191318607;682,4025885496077;1,0873969624101234;5087,076865717208
sub;catarse;57;15,0;0,08333333333333333;0,2631578947368421;3636,517912678314;242,4345275118876;198,3989605548985;10,981621647967827;538,4389998789497
