origem;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
apoia.se;632;0,0;0,0;0,0;0,0;0,0;0,0;39550,43984210649;39550,43984210649;0,0
catarse;2855;25609919,370164648;24063279,827323027;1546639,5428416207;18362275,036681943;18362131,937559098;143,09912284463644;3636,517912678314;3636,517912678314;0,0
