geral_modalidade;mencoes_webformatos;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;881;525,0;0,9139004149377593;0,5959137343927355;11269233,425751504;21465,20652524096;23607,321273099646;44,24739429080096;321726,8370992873
aon;True;83;61,0;0,08609958506224066;0,7349397590361446;1114148,0881179315;18264,722756031664;15072,64786380067;2805,95946263154;79100,74664594153
flex;False;561;500,0;0,9272727272727272;0,8912655971479501;4582634,300448779;9165,268600897558;22231,999302394965;24,186396829065757;358829,67785228643
flex;True;44;44,0;0,07272727272727272;1,0;722310,4328675141;16416,14620153441;57626,973418728194;429,0;385603,24
sub;False;426;73,0;0,9659863945578231;0,17136150234741784;24148,708204031474;330,8042219730339;724,6882771521098;3,0827379517311337;4127,142131526186
sub;True;15;6,0;0,034013605442176874;0,4;763,9349542453281;127,32249237422134;186,20923892395004;3,0833544184327946;467,1682604354365
