geral_modalidade;mencoes_zine;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;852;512,0;0,8838174273858921;0,6009389671361502;11134637,664830573;21747,339189122213;23967,527965774803;638,5754812101508;321726,8370992873
aon;True;112;74,0;0,11618257261410789;0,6607142857142857;1248743,8490388629;16874,916878903554;12355,465670342295;44,24739429080096;51934,69448318128
flex;False;519;459,0;0,8578512396694215;0,884393063583815;4550499,213783958;9913,941642230846;28132,971843151903;24,186396829065757;385603,24
flex;True;86;85,0;0,14214876033057852;0,9883720930232558;754445,5195323349;8875,82964155688;18578,12202931151;28,827732960442425;162316,26581120395
sub;False;426;76,0;0,9659863945578231;0,1784037558685446;24731,797721537198;325,41839107285784;711,8791420786758;3,0827379517311337;4127,142131526186
sub;True;15;3,0;0,034013605442176874;0,2;180,8454367396051;60,28181224653503;48,0431198730941;5,12035350982925;92,96660564950956
