geral_modalidade;mencoes_fantasia;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;793;478,0;0,8226141078838174;0,6027742749054225;9940035,482120585;20795,0533098757;23482,245463836454;44,24739429080096;321726,8370992873
aon;True;171;108,0;0,17738589211618258;0,631578947368421;2443346,031748851;22623,574368044916;20023,14209405372;638,5754812101508;101847,0676167074
flex;False;486;431,0;0,8033057851239669;0,8868312757201646;4026572,606719407;9342,395839256164;29265,44237591732;24,186396829065757;385603,24
flex;True;119;113,0;0,19669421487603306;0,9495798319327731;1278372,126596886;11313,027668998991;14309,10815342095;44,97401396783553;97584,06986204904
sub;False;419;74,0;0,9501133786848073;0,1766109785202864;24492,146440536217;330,9749518991381;720,5605329331418;3,0827379517311337;4127,142131526186
sub;True;22;5,0;0,049886621315192746;0,22727272727272727;420,49671774058913;84,09934354811783;83,36159107375616;5,108092297000608;225,11741855839995
