geral_modalidade;mencoes_questoes_genero;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;False;941;574,0;0,9761410788381742;0,6099893730074389;12162159,20824477;21188,430676384618;23031,951561884376;44,24739429080096;321726,8370992873
aon;True;23;12,0;0,023858921161825725;0,5217391304347826;221222,3056246648;18435,192135388734;14045,86020645347;3766,64137000085;52556,20457350941
flex;False;580;520,0;0,9586776859504132;0,896551724137931;5069312,782895332;9748,67842864487;27391,83291313146;24,186396829065757;385603,24
flex;True;25;24,0;0,04132231404958678;0,96;235631,9504209605;9817,997934206687;9663,608107933247;81,56425580107691;41334,77432644151
sub;False;437;77,0;0,9909297052154195;0,17620137299771166;23007,1645533797;298,794344849087;697,1785207145581;3,0827379517311337;4127,142131526186
sub;True;4;2,0;0,009070294784580499;0,5;1905,478604897107;952,7393024485535;664,3482736344725;482,974133092042;1422,5044718050651
