geral_modalidade;total;arrecadado;total_sucesso;arrecadado_sucesso;taxa_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;964;13417782,74414016;586,0;12383381,513869435;0,6078838174273858;21132,050364964907;22879,058220251474;44,24739429080096;321726,8370992873
flex;605;5305060,829540994;544,0;5304944,733316293;0,8991735537190083;9751,73664212554;26853,40345594177;24,186396829065757;385603,24
sub;441;24912,643158276805;79,0;24912,643158276805;0,17913832199546487;315,3499133959089;699,9578137778318;3,0827379517311337;4127,142131526186
