autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
alessio esteves;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
alex;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
alex  maniezo;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
alex d'ates;2;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
alex genaro;3;1,0;0,0;1,0;2,0;2,0;0,0;0,0;0,0;0,0
alex mir;7;1,0;0,0;1,0;6,0;6,0;0,0;0,0;0,0;0,0
alex sander;3;3,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
alexandre carvalho;2;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
alexandre dal gallo;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
alexandre de nadal;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
alexandre leoni;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
alexandre morgado;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
alexandre silva;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
alexandro f. da silva;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
alexandro lima;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
alexey dodsworth;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
alexssandro grunewald;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
alice blue;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
alice in badland;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
alice monstrinho;2;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
alice pereira;2;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
aliens of camila;2;1,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
aline cristine;4;2,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;1,0
alipio;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
alison andrei;2;2,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0
allan albuquerque;2;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0
allan macedo de novaes;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
alley;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
almoço, bar & lancherias;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
alpha comics;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
alucinator scan;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
além da vida - quadrinho bl;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
além dos quadrinhos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
amalgama estúdio;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
amanda calmon martinelli;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
amanda martinelli e cainã fontes;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
amanda ribeiro marques;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ambrosia portais digitais ltda;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
amedyr;2;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
ameraki studios - alexandre lince;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
amv produções;6;3,0;3,0;0,0;3,0;3,0;0,0;0,0;0,0;0,0
ana barana;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ana cardoso;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ana cavalieri;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
ana li;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ana luiza koehler;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
ana luiza lacerda;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
ana mei;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
ana paloma silva;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
ana paula côrtes;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
analu medeiros;2;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
anderson awvas;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
anderson pacheco;2;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
anderson shon;2;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
anderson vieira;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
andre freitas;7;4,0;1,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0
andre luiz alonso de assis;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
andre zanki cordenonsi;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
andressa prado;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
andré andrade;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
andré barbosa;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
andré bernardino;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
andré caliman;2;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
andré carim de oliveira - múltiplo estúdio;11;6,0;0,0;6,0;5,0;5,0;0,0;0,0;0,0;0,0
andré dias araujo;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
andré farias;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
andré inácio;3;0,0;0,0;0,0;3,0;3,0;0,0;0,0;0,0;0,0
andré luiz barroso;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
andré macedo;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
andré modesto;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
andré p;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
andré pedrosa;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
andré renato dos santos de souza;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
andré turtelli poles;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
angelo mokutan;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
anima_nel - brasil anos 2 mil;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
animanga;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
animangá;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
anime brasileiro - lion gael;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
anime center;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
anime sharing day;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
animebomb;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
anisio serrazul;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
annima de mattos;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
anthony mazza;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
anthopomorphic cosmic;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
anticomix;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
antonio alan mangaka;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
antonio costa;2;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
antonio eder;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
antonio gris;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
antonio luis xiii;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
apenas um pedro;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
apm - artes e quadrinhos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
